asn,name,cc,verdict,apnic_score,cone,dirty_feeds,total_feeds
1299,Arelion (fka. Telia Carrier),XX,CORE PROTECTOR (Tier 1),-1,61899,0,0
3356,Lumen (Level 3),XX,CORE PROTECTOR (Tier 1),-1,61868,0,0
174,"Cogent Communications, LLC",XX,CORE PROTECTOR (Tier 1),-1,56709,0,0
3257,GTT Communications Inc.,XX,CORE PROTECTOR (Tier 1),-1,44086,0,0
6939,Hurricane Electric LLC,XX,CORE PROTECTOR (Tier 1),-1,34660,0,0
3320,Deutsche Telekom AG,XX,CORE PROTECTOR (Tier 1),-1,12418,0,0
701,Verizon Business,XX,CORE PROTECTOR (Tier 1),-1,4741,0,0
6830,Liberty Global Europe Holding B.V.,XX,CORE PROTECTOR (Tier 1),-1,3315,0,0
7018,"AT&T Enterprises, LLC",XX,CORE PROTECTOR (Tier 1),-1,2684,0,0
9002,RETN Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,12943,22,28
141013,GetaFIX Content Network,XX,Transit: INHERITED (Clean Pipe),-1,10570,0,1
1273,Vodafone Group PLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,6183,5,10
7195,EdgeUno,XX,Transit: UNVERIFIED (Dirty Feed),-1,4067,6,10
20764,CJSC RASCOM,XX,Transit: UNVERIFIED (Dirty Feed),-1,2751,13,16
7922,"Comcast Cable Communications, LLC",XX,Transit: UNVERIFIED (Dirty Feed),-1,2729,5,9
4826,Vocus Connect International Backbone,XX,Transit: UNVERIFIED (Dirty Feed),-1,1907,12,18
5405,Inter.link GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,1899,7,10
8220,COLT,XX,Transit: UNVERIFIED (Dirty Feed),-1,1544,10,15
5617,Orange Polska Spolka Akcyjna,XX,Transit: UNVERIFIED (Dirty Feed),-1,1186,1,2
20473,"The Constant Company, LLC",XX,Transit: UNVERIFIED (Dirty Feed),-1,1034,21,32
1221,Telstra Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,960,1,3
13335,"Cloudflare, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,934,230,255
24482,SG.GS,XX,Transit: UNVERIFIED (Dirty Feed),-1,854,10,12
37100,SEACOM Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,653,12,17
2497,Internet Initiative Japan Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,640,3,7
12741,Netia SA,XX,Transit: UNVERIFIED (Dirty Feed),-1,589,10,12
209,Lumen (ex. Qwest),XX,Transit: INHERITED (Clean Pipe),-1,510,0,1
22773,Cox Communications Inc.,XX,Transit: INHERITED (Clean Pipe),-1,507,0,3
3303,Swisscom (Schweiz) AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,503,6,11
7029,Windstream Communications LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,502,6,7
4788,TM Technology Services Sdn. Bhd.,XX,Transit: UNVERIFIED (Dirty Feed),-1,481,8,12
8708,DIGI ROMANIA S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,467,5,8
577,Bell Canada,XX,Transit: UNVERIFIED (Dirty Feed),-1,467,6,12
3326,Datagroup PJSC,XX,Transit: UNVERIFIED (Dirty Feed),-1,457,3,7
38195,Superloop,XX,Transit: UNVERIFIED (Dirty Feed),-1,409,5,10
17676,SoftBank Corp.,XX,Transit: UNVERIFIED (Dirty Feed),-1,401,4,8
9141,P4 Sp. z o.o.,XX,Transit: INHERITED (Clean Pipe),-1,390,0,2
1764,Next Layer Telecommunications,XX,Transit: UNVERIFIED (Dirty Feed),-1,381,2,7
50629,LWLcom GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,360,1,5
35320,Eurotranstelecom Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,346,2,5
23947,PT Mora Telematika Indonesia Tbk,XX,Transit: UNVERIFIED (Dirty Feed),-1,320,7,11
18403,FPT Telecom Company,XX,Transit: UNVERIFIED (Dirty Feed),-1,311,15,18
10796,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,305,3,4
199524,Gcore S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,278,34,46
12880,Iran Information Technology Company PJSC,XX,Transit: UNVERIFIED (Dirty Feed),-1,267,1,1
852,TELUS Communications Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,257,2,7
1257,Tele2 Sverige AB,XX,Transit: UNVERIFIED (Dirty Feed),-1,257,6,9
9299,PLDT (Philippine Long Distance Telephone Company),XX,Transit: UNVERIFIED (Dirty Feed),-1,225,12,17
12874,Fastweb SpA,XX,Transit: UNVERIFIED (Dirty Feed),-1,223,4,9
3214,xTom GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,220,3,7
30781,Free Pro SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,203,3,5
60171,AFR-IX TELECOM S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,200,11,16
24724,Atman Sp. z o.o.,XX,Transit: INHERITED (Clean Pipe),-1,199,0,3
3215,Orange S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,194,1,2
41327,Fiber Telecom S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,183,6,10
8866,Vivacom Bulgaria EAD,XX,Transit: UNVERIFIED (Dirty Feed),-1,177,6,10
4764,Aussie Broadband,XX,Transit: UNVERIFIED (Dirty Feed),-1,177,1,6
16019,Vodafone Czech Republic a.s.,XX,Transit: INHERITED (Clean Pipe),-1,176,0,2
57866,Fusix Networks B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,173,5,8
2119,Telenor Norge AS,XX,Transit: UNVERIFIED (Dirty Feed),-1,172,4,7
53667,FranTech Solutions,XX,Transit: UNVERIFIED (Dirty Feed),-1,169,3,5
4713,NTT Communications Corporation (OCN),XX,Transit: UNVERIFIED (Dirty Feed),-1,167,1,2
8400,Telekom Srbija a.d.,XX,Transit: UNVERIFIED (Dirty Feed),-1,164,4,7
6667,Elisa Oyj,XX,Transit: UNVERIFIED (Dirty Feed),-1,160,1,5
208972,GIBIRNet Iletisim,XX,Transit: UNVERIFIED (Dirty Feed),-1,154,5,6
11427,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,149,3,3
48070,DSM (GB) Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,149,2,3
20001,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,147,4,6
6079,RCN,XX,Transit: UNVERIFIED (Dirty Feed),-1,147,1,5
49800,GNC-Alfa CJSC,XX,Transit: UNVERIFIED (Dirty Feed),-1,144,2,4
36236,"NetActuate, Inc",XX,Transit: UNVERIFIED (Dirty Feed),-1,139,14,23
55850,Mercury NZ Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,139,2,3
3292,TDC Holding A/S,XX,Transit: UNVERIFIED (Dirty Feed),-1,129,2,6
3462,HiNet (Chunghwa Telecom),XX,Transit: UNVERIFIED (Dirty Feed),-1,129,3,4
55002,"F5, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,123,3,3
16509,"Amazon.com, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,118,10,20
3399,Obenet AB,XX,Transit: UNVERIFIED (Dirty Feed),-1,117,1,3
29208,"Quantcom, a.s.",XX,Transit: UNVERIFIED (Dirty Feed),-1,110,2,4
7575,Australian Academic and Research Network (AARNet),XX,Transit: UNVERIFIED (Dirty Feed),-1,110,3,5
58224,Iran Telecommunication Company PJS,XX,Transit: UNVERIFIED (Dirty Feed),-1,109,3,4
28343,Unifique Telecomunicações SA,XX,Transit: UNVERIFIED (Dirty Feed),-1,109,2,4
33363,"Charter Communications, Inc",XX,Transit: UNVERIFIED (Dirty Feed),-1,108,1,1
2518,BIGLOBE Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,106,3,5
15576,NTS workspace AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,105,2,5
207841,Inferno Communications Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,104,3,3
3301,Telia Company AB,XX,Transit: INHERITED (Clean Pipe),-1,104,0,1
11351,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,98,2,2
3352,TELEFONICA DE ESPANA S.A.U.,XX,Transit: UNVERIFIED (Dirty Feed),-1,96,1,1
15895,"""Kyivstar"" PJSC",XX,Transit: UNVERIFIED (Dirty Feed),-1,96,1,4
12479,Orange Espagne SA,XX,Transit: UNVERIFIED (Dirty Feed),-1,94,1,2
11426,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,93,1,1
56655,Gigahost AS,XX,Transit: UNVERIFIED (Dirty Feed),-1,93,1,3
29802,"HIVELOCITY, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,91,9,15
31242,P4 Sp. z o.o.,XX,Transit: INHERITED (Clean Pipe),-1,90,0,3
55824,NKN Core Network,XX,Transit: UNVERIFIED (Dirty Feed),-1,87,2,2
719,Elisa Oyj,XX,Transit: INHERITED (Clean Pipe),-1,85,0,1
39351,31173 Services AB,XX,Transit: UNVERIFIED (Dirty Feed),-1,84,1,4
47160,MOJI SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,81,4,6
63927,RISE,XX,Transit: UNVERIFIED (Dirty Feed),-1,80,3,7
8767,M-net Telekommunikations GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,79,2,5
18106,Viewqwest Pte Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,79,13,17
45177,Devoli,XX,Transit: UNVERIFIED (Dirty Feed),-1,77,3,3
12779,IT.Gate S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,76,3,5
5483,Magyar Telekom Plc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,75,2,4
39686,Eurofiber Nederland BV,XX,Transit: INHERITED (Clean Pipe),-1,75,0,2
37497,Network Platforms (PTY) LTD,XX,Transit: UNVERIFIED (Dirty Feed),-1,73,4,7
209735,Lagrange Cloud Technologies Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,73,1,3
27951,Media Commerce Partners S.A,XX,Transit: UNVERIFIED (Dirty Feed),-1,65,8,10
1759,Telia Finland Oyj,XX,Transit: INHERITED (Clean Pipe),-1,64,0,1
9145,EWE TEL GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,63,1,5
2852,CESNET z.s.p.o.,XX,Transit: UNVERIFIED (Dirty Feed),-1,62,6,7
393577,Tritan Development,XX,Transit: UNVERIFIED (Dirty Feed),-1,61,2,4
17451,Biznet Networks,XX,Transit: UNVERIFIED (Dirty Feed),-1,60,5,9
5089,Virgin Media Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,60,1,3
35699,Adamo Telecom Iberia S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,59,3,6
16086,DNA Oyj,XX,Transit: UNVERIFIED (Dirty Feed),-1,59,1,4
8473,Bahnhof AB,XX,Transit: INHERITED (Clean Pipe),-1,58,0,3
11232,Midcontinent Communications,XX,Transit: UNVERIFIED (Dirty Feed),-1,58,2,5
21413,Envia Tel GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,57,2,6
12271,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,55,2,2
20207,Gigared S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,54,3,5
28725,CETIN a.s.,XX,Transit: INHERITED (Clean Pipe),-1,54,0,2
9136,WOBCOM GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,53,2,5
6849,"JSC ""Ukrtelecom""",XX,Transit: UNVERIFIED (Dirty Feed),-1,52,4,10
29695,Lyse Tele AS,XX,Transit: INHERITED (Clean Pipe),-1,51,0,3
394177,Shift Hosting LLC,XX,Transit: INHERITED (Clean Pipe),-1,50,0,3
9268,Over The Wire Pty Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,50,1,2
6661,POST Luxembourg,XX,Transit: UNVERIFIED (Dirty Feed),-1,49,1,2
21700,"Neptune Networks, LLC",XX,Transit: INHERITED (Clean Pipe),-1,48,0,3
55666,PT Media Sarana Data,XX,Transit: UNVERIFIED (Dirty Feed),-1,47,10,11
24875,NovoServe B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,46,3,7
1136,KPN B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,46,2,4
3262,"SAREnet, S.A.",XX,Transit: UNVERIFIED (Dirty Feed),-1,46,1,4
199081,Lancom Ltd.,XX,Transit: UNVERIFIED (Dirty Feed),-1,45,1,6
2860,"NOS COMUNICACOES, S.A.",XX,Transit: UNVERIFIED (Dirty Feed),-1,45,1,3
11776,Breezeline,XX,Transit: UNVERIFIED (Dirty Feed),-1,44,1,2
4181,TDS TELECOM,XX,Transit: INHERITED (Clean Pipe),-1,43,0,3
25400,Telia Norge AS,XX,Transit: INHERITED (Clean Pipe),-1,42,0,1
9607,"BroadBand Tower, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,42,2,4
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,XX,Transit: UNVERIFIED (Dirty Feed),-1,42,1,1
29169,GANDI SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,42,4,7
21738,Rozint,XX,Transit: UNVERIFIED (Dirty Feed),-1,41,1,4
8283,Netwerkvereniging Coloclue,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,8,9
1653,Vetenskapsrådet / SUNET,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,1,1
36352,HostPapa,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,5,8
61461,Airtek Solutions C.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,5,10
25248,RADIOKOMUNIKACE a.s.,XX,Transit: INHERITED (Clean Pipe),-1,39,0,3
51088,A2B IP B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,38,1,3
5408,National Infrastructures for Research and Technology S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,38,2,3
6799,Ote SA (Hellenic Telecommunications Organisation),XX,Transit: UNVERIFIED (Dirty Feed),-1,38,1,1
29405,VNET a.s.,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,1,6
6736,Institute for Research in Fundamental Sciences,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,1,1
6866,Cyprus Telecommunications Authority,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,2,6
16302,Suomi Communications Oy,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,2,4
8434,Telenor Sverige AB,XX,Transit: INHERITED (Clean Pipe),-1,35,0,1
25512,CD-Telematika a.s.,XX,Transit: INHERITED (Clean Pipe),-1,35,0,2
394256,Tech Futures Interactive Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,35,4,7
34019,Hivane Association,XX,Transit: UNVERIFIED (Dirty Feed),-1,35,6,10
4213,Krypt Technologies,XX,Transit: UNVERIFIED (Dirty Feed),-1,35,1,5
197071,active 1 GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,34,3,5
17054,Expedient,XX,Transit: UNVERIFIED (Dirty Feed),-1,34,2,8
680,Deutsches Forschungsnetz (DFN),XX,Transit: INHERITED (Clean Pipe),-1,34,0,3
45204,GEMNET LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,34,22,28
786,Jisc Services Limited,XX,Transit: INHERITED (Clean Pipe),-1,33,0,2
59105,Home NOC Operators Group,XX,Transit: UNVERIFIED (Dirty Feed),-1,33,5,7
3329,Vodafone Greece,XX,Transit: UNVERIFIED (Dirty Feed),-1,33,2,3
41720,Revolution Provider S.r.l.,XX,Transit: UNVERIFIED (Dirty Feed),-1,32,2,5
1241,Nova Telecommunications & Media Single Member S.A,XX,Transit: UNVERIFIED (Dirty Feed),-1,32,2,3
29670,"Individual Network Berlin (""IN-Berlin"") e.V.",XX,Transit: UNVERIFIED (Dirty Feed),-1,32,3,8
39326,Syntura Group Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,32,1,2
35432,Cablenet Communication Systems plc,XX,Transit: UNVERIFIED (Dirty Feed),-1,31,1,2
47692,Nessus GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,31,2,4
131429,MOBIFONE Corporation,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,6,9
10143,Exetel Pty Ltd,XX,Transit: INHERITED (Clean Pipe),-1,30,0,1
12337,noris network AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,4,8
20676,Plusnet GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,1,4
12859,BIT BV,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,1,2
39216,AL-SARD FIBER Co.,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,4,8
56911,Warian S.R.L.,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,4,7
29518,Bredband2 AB,XX,Transit: INHERITED (Clean Pipe),-1,29,0,2
13213,UK-2 Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,29,3,8
32425,Pixel Factory,XX,Transit: UNVERIFIED (Dirty Feed),-1,29,2,6
41108,comtrance service GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,28,1,1
1103,SURF B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,28,2,5
11967,Hop179 LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,28,5,7
803,Saskatchewan Telecommunications,XX,Transit: UNVERIFIED (Dirty Feed),-1,27,3,5
2611,BELNET,XX,Transit: INHERITED (Clean Pipe),-1,27,0,3
6821,Makedonski Telekom AD-Skopje,XX,Transit: UNVERIFIED (Dirty Feed),-1,27,2,4
33915,Vodafone Libertel B.V.,XX,Transit: INHERITED (Clean Pipe),-1,26,0,1
2027,MilkyWan,XX,Transit: UNVERIFIED (Dirty Feed),-1,26,5,7
208453,Johan Karlsson (SweHosting),XX,Transit: UNVERIFIED (Dirty Feed),-1,26,2,3
6306,"TELEFONICA VENEZOLANA, C.A. (Movistar)",XX,Transit: UNVERIFIED (Dirty Feed),-1,26,3,4
15943,wilhelm.tel GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,26,3,8
57630,84 Grams AB,XX,Transit: INHERITED (Clean Pipe),-1,25,0,3
18001,Dialog Axiata PLC.,XX,Transit: UNVERIFIED (Dirty Feed),-1,25,5,8
5413,Wavenet Limited,XX,Transit: INHERITED (Clean Pipe),-1,25,0,3
6848,Telenet BV,XX,Transit: INHERITED (Clean Pipe),-1,25,0,2
7122,Bell Canada,XX,Transit: INHERITED (Clean Pipe),-1,25,0,1
15964,CAMTEL,XX,Transit: UNVERIFIED (Dirty Feed),-1,25,4,6
33185,Hive Data Center Inc.,XX,Transit: INHERITED (Clean Pipe),-1,24,0,4
553,BelWü,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,5
50266,Odido Netherlands B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,5
22742,Connecticut Education Network,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,4
55805,MobiCom Corporation,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,3
15954,"Tecnocratica Centro de Datos, S.L.",XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,4
207252,Felix Gassan,XX,Transit: UNVERIFIED (Dirty Feed),-1,23,2,5
44684,Mythic Beasts Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,23,1,2
39120,Convergenze S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,23,4,8
39122,Blacknight Internet Solutions Limited,XX,Transit: INHERITED (Clean Pipe),-1,23,0,3
39642,Norlys Digital A/S,XX,Transit: INHERITED (Clean Pipe),-1,23,0,3
41960,Nextpertise B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,22,4,7
51048,Next Connex Ltd,XX,Transit: INHERITED (Clean Pipe),-1,22,0,2
13009,Redcentric Solutions Ltd,XX,Transit: INHERITED (Clean Pipe),-1,22,0,3
212027,PebbleHost Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,22,3,7
32270,"LD Telecommunications, Inc.",XX,Transit: INHERITED (Clean Pipe),-1,22,0,3
24521,PT Data Utama Dinamika,XX,Transit: UNVERIFIED (Dirty Feed),-1,22,4,4
18809,Cable Onda,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,2,3
12611,R-KOM Regensburger,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,3,5
13127,Odido Netherlands B.V.,XX,Transit: INHERITED (Clean Pipe),-1,21,0,1
15169,Google LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,9,15
400304,Redoubt Networks (Crunchbits),XX,Transit: INHERITED (Clean Pipe),-1,21,0,2
15623,Cyberlink AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,4,8
24971,MasterDC s.r.o.,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,1,3
25144,Telekomunikacije Republike Srpske a.d.,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,2,3
34953,RelAix Networks GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,1,5
35047,Abissnet sh.a.,XX,Transit: INHERITED (Clean Pipe),-1,20,0,3
36925,Orange Maroc,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,3,4
21334,One Hungary Ltd.,XX,Transit: INHERITED (Clean Pipe),-1,20,0,2
46475,"Limestone Networks, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,20,5,9
30456,Cosmic Global Networks,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,1,4
8968,BT Italia S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,4
50973,Vodafone Albania Sh.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,4
209097,NETSYST SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,3,6
20712,Andrews & Arnold Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,2,5
20912,Panservice s.a.s. di Cuseo Fabrizio & C.,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,5
31252,StarNet Solutii SRL,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,7
8426,Claranet Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,18,3,6
13285,TalkTalk Communications Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,18,2,6
48314,IP-Projects GmbH & Co. KG,XX,Transit: UNVERIFIED (Dirty Feed),-1,18,7,11
8585,Crnogorski Telekom a.d.Podgorica,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,1,1
215467,Skhron OU,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,5,7
27882,Telefónica Celular de Bolivia S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,6,6
13101,TNG Stadtnetz GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,1,5
