asn,cc,name,verdict,apnic_score,cone,dirty_feeds,total_feeds
17451,ID,Biznet Networks,Transit: LEAKING,2.03,60,5,9
6866,CY,Cyprus Telecommunications Authority,Transit: LEAKING,0.26,36,2,6
27882,BO,Telefónica Celular de Bolivia S.A.,Transit: LEAKING,16.44,17,6,6
8468,GB,Cityfibre Limited,Transit: LEAKING,13.4,13,0,2
141968,ID,PT Industri Kreatif Digital,Transit: LEAKING,0.7,10,7,7
23031,EC,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.,Transit: LEAKING,18.67,9,8,10
209847,NL,WorkTitans B.V.,Transit: LEAKING,3.15,7,24,34
62425,TR,Mailbox Internet Hizmetleri Ltd. Sti.,Transit: LEAKING,0.0,7,1,1
62563,CA,GLOBALTELEHOST Corp.,Transit: LEAKING,14.04,7,1,3
29974,CA,Wightman Telecom,Transit: LEAKING,10.21,6,1,3
45355,FJ,Digicel Fiji Limited,Stub: LEAKING,1.51,5,2,2
152605,PK,Z COM NETWORKS,Stub: LEAKING,0.69,4,1,1
5482,GB,AllPoints Fibre Limited,Stub: LEAKING,8.97,4,1,3
3,US,Massachusetts Institute of Technology,Stub: LEAKING,12.14,3,8,11
57356,GB,Highland Network Ltd,Stub: LEAKING,2.02,3,0,1
24757,ET,Ethio telecom,Stub: LEAKING,7.91,3,5,5
33582,LC,Digicel St.Lucia Ltd,Stub: LEAKING,0.14,3,1,1
42611,GB,Full Fibre Limited,Stub: LEAKING,5.42,2,1,2
26253,US,"South Central Communications, Inc.",Stub: LEAKING,0.0,2,0,2
133612,AU,Vodafone Australia Pty Ltd,Stub: LEAKING,8.96,2,1,1
12978,TR,ANDROMEDA TV DIGITAL PLATFORM ISLETMECILIGI A.S.,Stub: LEAKING,17.21,2,2,2
269938,PE,ADN TELECOM S.A.C.,Stub: LEAKING,0.0,2,2,3
25135,GB,Vodafone Limited,Stub: LEAKING,0.43,0,1,1
17421,TW,Emome (Chunghwa Telecom),Stub: LEAKING,5.34,0,0,1
132423,IN,Powai,Stub: LEAKING,0.0,0,2,3
50666,PT,LigaT Telecom Sociedade Unipessoal LDA,Stub: LEAKING,4.2,0,1,1
51918,GB,Cerberus Networks Ltd,Stub: LEAKING,18.87,0,0,2
44291,UA,Infomir LLC,Stub: LEAKING,0.0,0,1,4
208172,US,Proton AG,Stub: LEAKING,4.6,0,2,2
44695,UA,FOP Markovskiy Denis Vadimovich,Stub: LEAKING,0.09,0,1,2
397332,US,City of Anacortes,Stub: LEAKING,4.27,0,1,2
202208,DE,teutel GmbH,Stub: LEAKING,4.02,0,1,2
63025,US,NOHAVPS LLC,Stub: LEAKING,0.0,0,3,4
202401,DE,Webhosting24 GmbH,Stub: LEAKING,1.49,0,1,1
47202,PT,LAZER TELECOMUNICACOES S.A.,Stub: LEAKING,1.01,0,1,4
56329,GB,Gigaclear Limited,Stub: LEAKING,3.74,0,0,3
15457,PT,"NOS Madeira Comunicacoes, S.A.",Stub: LEAKING,0.39,0,0,1
212623,PL,NysaNet sp. z o.o.,Stub: LEAKING,9.64,0,2,2
9002,RU,RETN Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,12943,22,28
141013,PH,GetaFIX Content Network,Transit: INHERITED (Clean Pipe),-1.0,10570,0,1
1273,GB,Vodafone Group PLC,Transit: UNVERIFIED (Dirty Feed),95.73,6183,5,10
7195,BR,EdgeUno,Transit: UNVERIFIED (Dirty Feed),-1.0,4067,6,10
20764,RU,CJSC RASCOM,Transit: UNVERIFIED (Dirty Feed),-1.0,2751,13,16
5405,DE,Inter.link GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,1899,7,10
8220,US,COLT,Transit: UNVERIFIED (Dirty Feed),-1.0,1544,10,15
20473,US,"The Constant Company, LLC",Transit: UNVERIFIED (Dirty Feed),97.99,1034,21,32
13335,US,"Cloudflare, Inc.",Transit: UNVERIFIED (Dirty Feed),44.5,934,230,255
24482,BR,SG.GS,Transit: UNVERIFIED (Dirty Feed),-1.0,854,10,12
37100,DE,SEACOM Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,653,12,17
209,US,Lumen (ex. Qwest),Transit: SECURE (Clean Pipe),99.84,510,0,1
22773,US,Cox Communications Inc.,Transit: SECURE (Clean Pipe),99.9,507,0,3
4788,MY,TM Technology Services Sdn. Bhd.,Transit: UNVERIFIED (Dirty Feed),90.31,481,8,12
9141,PL,P4 Sp. z o.o.,Transit: SECURE (Clean Pipe),99.78,390,0,2
35320,UA,Eurotranstelecom Ltd,Transit: UNVERIFIED (Dirty Feed),93.78,346,2,5
23947,ID,PT Mora Telematika Indonesia Tbk,Transit: UNVERIFIED (Dirty Feed),-1.0,320,7,11
12880,IR,Iran Information Technology Company PJSC,Transit: UNVERIFIED (Dirty Feed),-1.0,267,1,1
12874,IT,Fastweb SpA,Transit: UNVERIFIED (Dirty Feed),57.58,223,4,9
60171,ZA,AFR-IX TELECOM S.A.,Transit: UNVERIFIED (Dirty Feed),87.56,200,11,16
24724,RU,Atman Sp. z o.o.,Transit: INHERITED (Clean Pipe),-1.0,199,0,3
41327,IT,Fiber Telecom S.p.A.,Transit: UNVERIFIED (Dirty Feed),97.37,183,6,10
16019,CZ,Vodafone Czech Republic a.s.,Transit: SECURE (Clean Pipe),99.83,176,0,2
57866,NL,Fusix Networks B.V.,Transit: UNVERIFIED (Dirty Feed),-1.0,173,5,8
6667,GB,Elisa Oyj,Transit: UNVERIFIED (Dirty Feed),-1.0,160,1,5
208972,RU,GIBIRNet Iletisim,Transit: UNVERIFIED (Dirty Feed),-1.0,154,5,6
48070,GB,DSM (GB) Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,149,2,3
49800,AM,GNC-Alfa CJSC,Transit: UNVERIFIED (Dirty Feed),21.6,144,2,4
36236,BR,"NetActuate, Inc",Transit: UNVERIFIED (Dirty Feed),-1.0,139,14,23
55850,US,Mercury NZ Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,139,2,3
3462,TW,HiNet (Chunghwa Telecom),Transit: UNVERIFIED (Dirty Feed),74.51,129,3,4
55002,US,"F5, Inc.",Transit: UNVERIFIED (Dirty Feed),-1.0,123,3,3
16509,US,"Amazon.com, Inc.",Transit: UNVERIFIED (Dirty Feed),87.61,118,10,20
3399,NL,Obenet AB,Transit: UNVERIFIED (Dirty Feed),-1.0,117,1,3
29208,DE,"Quantcom, a.s.",Transit: UNVERIFIED (Dirty Feed),-1.0,110,2,4
58224,IR,Iran Telecommunication Company PJS,Transit: UNVERIFIED (Dirty Feed),65.32,109,3,4
28343,BR,Unifique Telecomunicações SA,Transit: UNVERIFIED (Dirty Feed),54.18,109,2,4
15576,CH,NTS workspace AG,Transit: UNVERIFIED (Dirty Feed),-1.0,105,2,5
207841,GB,Inferno Communications Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,104,3,3
3301,SE,Telia Company AB,Transit: SECURE (Clean Pipe),99.96,104,0,1
56655,RU,Gigahost AS,Transit: UNVERIFIED (Dirty Feed),-1.0,93,1,3
31242,PL,P4 Sp. z o.o.,Transit: SECURE (Clean Pipe),98.67,90,0,3
719,FI,Elisa Oyj,Transit: SECURE (Clean Pipe),99.96,85,0,1
47160,FR,MOJI SAS,Transit: UNVERIFIED (Dirty Feed),-1.0,81,4,6
63927,DE,RISE,Transit: UNVERIFIED (Dirty Feed),-1.0,80,3,7
18106,US,Viewqwest Pte Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,79,13,17
12779,IT,IT.Gate S.p.A.,Transit: UNVERIFIED (Dirty Feed),-1.0,76,3,5
39686,NL,Eurofiber Nederland BV,Transit: SECURE (Clean Pipe),99.52,75,0,2
37497,ZA,Network Platforms (PTY) LTD,Transit: UNVERIFIED (Dirty Feed),-1.0,73,4,7
209735,GB,Lagrange Cloud Technologies Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,73,1,3
27951,CO,Media Commerce Partners S.A,Transit: UNVERIFIED (Dirty Feed),35.68,65,8,10
1759,FI,Telia Finland Oyj,Transit: SECURE (Clean Pipe),99.94,64,0,1
393577,US,Tritan Development,Transit: UNVERIFIED (Dirty Feed),-1.0,61,2,4
35699,ES,Adamo Telecom Iberia S.A.,Transit: UNVERIFIED (Dirty Feed),28.69,59,3,6
8473,SE,Bahnhof AB,Transit: SECURE (Clean Pipe),99.86,58,0,3
28725,CZ,CETIN a.s.,Transit: SECURE (Clean Pipe),99.51,54,0,2
6849,UA,"JSC ""Ukrtelecom""",Transit: UNVERIFIED (Dirty Feed),63.93,52,4,10
29695,NO,Lyse Tele AS,Transit: INHERITED (Clean Pipe),95.84,51,0,3
394177,US,Shift Hosting LLC,Transit: INHERITED (Clean Pipe),-1.0,50,0,3
9268,AU,Over The Wire Pty Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,50,1,2
6661,GB,POST Luxembourg,Transit: UNVERIFIED (Dirty Feed),-1.0,49,1,2
21700,US,"Neptune Networks, LLC",Transit: INHERITED (Clean Pipe),-1.0,48,0,3
55666,ID,PT Media Sarana Data,Transit: UNVERIFIED (Dirty Feed),93.0,47,10,11
3262,ES,"SAREnet, S.A.",Transit: UNVERIFIED (Dirty Feed),90.31,46,1,4
2860,PT,"NOS COMUNICACOES, S.A.",Transit: UNVERIFIED (Dirty Feed),43.03,45,1,3
4181,US,TDS TELECOM,Transit: SECURE (Clean Pipe),99.94,43,0,3
25400,NO,Telia Norge AS,Transit: SECURE (Clean Pipe),99.97,42,0,1
9607,JP,"BroadBand Tower, Inc.",Transit: UNVERIFIED (Dirty Feed),-1.0,42,2,4
29169,FR,GANDI SAS,Transit: UNVERIFIED (Dirty Feed),-1.0,42,4,7
21738,US,Rozint,Transit: UNVERIFIED (Dirty Feed),-1.0,41,1,4
8283,NL,Netwerkvereniging Coloclue,Transit: UNVERIFIED (Dirty Feed),-1.0,40,8,9
36352,US,HostPapa,Transit: UNVERIFIED (Dirty Feed),65.96,40,5,8
61461,US,Airtek Solutions C.A.,Transit: UNVERIFIED (Dirty Feed),-1.0,40,5,10
25248,CZ,RADIOKOMUNIKACE a.s.,Transit: SECURE (Clean Pipe),99.54,39,0,3
51088,NL,A2B IP B.V.,Transit: UNVERIFIED (Dirty Feed),-1.0,38,1,3
6736,IR,Institute for Research in Fundamental Sciences,Transit: UNVERIFIED (Dirty Feed),-1.0,36,1,1
8434,SE,Telenor Sverige AB,Transit: SECURE (Clean Pipe),99.93,35,0,1
25512,CZ,CD-Telematika a.s.,Transit: SECURE (Clean Pipe),98.21,35,0,2
34019,FR,Hivane Association,Transit: UNVERIFIED (Dirty Feed),-1.0,35,6,10
4213,US,Krypt Technologies,Transit: UNVERIFIED (Dirty Feed),51.96,35,1,5
197071,DE,active 1 GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,34,3,5
680,DE,Deutsches Forschungsnetz (DFN),Transit: SECURE (Clean Pipe),99.76,34,0,3
45204,MN,GEMNET LLC,Transit: UNVERIFIED (Dirty Feed),-1.0,34,22,28
786,GB,Jisc Services Limited,Transit: SECURE (Clean Pipe),99.41,33,0,2
59105,JP,Home NOC Operators Group,Transit: UNVERIFIED (Dirty Feed),-1.0,33,5,7
41720,IT,Revolution Provider S.r.l.,Transit: UNVERIFIED (Dirty Feed),-1.0,32,2,5
29670,DE,"Individual Network Berlin (""IN-Berlin"") e.V.",Transit: UNVERIFIED (Dirty Feed),-1.0,32,3,8
47692,DE,Nessus GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,31,2,4
131429,VN,MOBIFONE Corporation,Transit: UNVERIFIED (Dirty Feed),26.75,30,6,9
10143,AU,Exetel Pty Ltd,Transit: SECURE (Clean Pipe),99.91,30,0,1
12337,DE,noris network AG,Transit: UNVERIFIED (Dirty Feed),-1.0,30,4,8
39216,IQ,AL-SARD FIBER Co.,Transit: UNVERIFIED (Dirty Feed),73.31,30,4,8
29518,SE,Bredband2 AB,Transit: SECURE (Clean Pipe),99.73,29,0,2
32425,US,Pixel Factory,Transit: UNVERIFIED (Dirty Feed),-1.0,29,2,6
41108,DE,comtrance service GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,28,1,1
11967,NL,Hop179 LLC,Transit: UNVERIFIED (Dirty Feed),-1.0,28,5,7
2611,BE,BELNET,Transit: SECURE (Clean Pipe),99.79,27,0,3
6821,MK,Makedonski Telekom AD-Skopje,Transit: UNVERIFIED (Dirty Feed),59.61,27,2,4
33915,NL,Vodafone Libertel B.V.,Transit: SECURE (Clean Pipe),99.99,26,0,1
2027,FR,MilkyWan,Transit: UNVERIFIED (Dirty Feed),-1.0,26,5,7
208453,NL,Johan Karlsson (SweHosting),Transit: UNVERIFIED (Dirty Feed),-1.0,26,2,3
12306,DE,Plus.line AG,Transit: UNVERIFIED (Dirty Feed),-1.0,26,3,6
6306,VE,"TELEFONICA VENEZOLANA, C.A. (Movistar)",Transit: UNVERIFIED (Dirty Feed),96.95,26,3,4
57630,SE,84 Grams AB,Transit: SECURE (Clean Pipe),98.97,25,0,3
5413,GB,Wavenet Limited,Transit: SECURE (Clean Pipe),98.85,25,0,3
6848,BE,Telenet BV,Transit: SECURE (Clean Pipe),99.79,25,0,2
7122,CA,Bell Canada,Transit: SECURE (Clean Pipe),99.85,25,0,1
15964,CM,CAMTEL,Transit: UNVERIFIED (Dirty Feed),78.47,25,4,6
33185,CA,Hive Data Center Inc.,Transit: SECURE (Clean Pipe),100.0,24,0,4
22742,US,Connecticut Education Network,Transit: UNVERIFIED (Dirty Feed),70.77,24,1,4
55805,DE,MobiCom Corporation,Transit: UNVERIFIED (Dirty Feed),-1.0,24,1,3
15954,ES,"Tecnocratica Centro de Datos, S.L.",Transit: UNVERIFIED (Dirty Feed),-1.0,24,1,4
207252,DE,Felix Gassan,Transit: UNVERIFIED (Dirty Feed),-1.0,23,2,5
44684,GB,Mythic Beasts Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,23,1,2
39122,GB,Blacknight Internet Solutions Limited,Transit: INHERITED (Clean Pipe),-1.0,23,0,3
39642,DK,Norlys Digital A/S,Transit: SECURE (Clean Pipe),99.98,23,0,3
51048,GB,Next Connex Ltd,Transit: INHERITED (Clean Pipe),-1.0,22,0,2
13009,GB,Redcentric Solutions Ltd,Transit: INHERITED (Clean Pipe),-1.0,22,0,3
212027,GB,PebbleHost Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,22,3,7
32270,US,"LD Telecommunications, Inc.",Transit: INHERITED (Clean Pipe),-1.0,22,0,3
13127,NL,Odido Netherlands B.V.,Transit: SECURE (Clean Pipe),100.0,21,0,1
15169,US,Google LLC,Transit: UNVERIFIED (Dirty Feed),71.51,21,9,15
400304,US,Redoubt Networks (Crunchbits),Transit: INHERITED (Clean Pipe),74.47,21,0,2
24971,CZ,MasterDC s.r.o.,Transit: UNVERIFIED (Dirty Feed),-1.0,20,1,3
25144,BA,Telekomunikacije Republike Srpske a.d.,Transit: UNVERIFIED (Dirty Feed),47.81,20,2,3
34953,DE,RelAix Networks GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,20,1,5
35047,AL,Abissnet sh.a.,Transit: SECURE (Clean Pipe),98.94,20,0,3
21334,HU,One Hungary Ltd.,Transit: SECURE (Clean Pipe),99.91,20,0,2
46475,US,"Limestone Networks, Inc.",Transit: UNVERIFIED (Dirty Feed),69.55,20,5,9
30456,US,Cosmic Global Networks,Transit: UNVERIFIED (Dirty Feed),-1.0,20,1,4
8968,IT,BT Italia S.p.A.,Transit: UNVERIFIED (Dirty Feed),-1.0,19,1,4
209097,FR,NETSYST SAS,Transit: UNVERIFIED (Dirty Feed),-1.0,19,3,6
20712,GB,Andrews & Arnold Ltd,Transit: UNVERIFIED (Dirty Feed),97.41,19,2,5
20912,IT,Panservice s.a.s. di Cuseo Fabrizio & C.,Transit: UNVERIFIED (Dirty Feed),97.53,19,1,5
31252,MD,StarNet Solutii SRL,Transit: UNVERIFIED (Dirty Feed),33.28,19,1,7
48314,DE,IP-Projects GmbH & Co. KG,Transit: UNVERIFIED (Dirty Feed),-1.0,18,7,11
215467,SE,Skhron OU,Transit: UNVERIFIED (Dirty Feed),-1.0,17,5,7
39040,CH,NTS workspace AG,Transit: UNVERIFIED (Dirty Feed),-1.0,17,3,3
24723,DE,Atman Sp. z o.o.,Transit: INHERITED (Clean Pipe),-1.0,16,0,3
49505,RU,JSC Selectel,Transit: UNVERIFIED (Dirty Feed),-1.0,16,4,8
200132,NL,Peter-Paul Maria Kurstjens,Transit: UNVERIFIED (Dirty Feed),-1.0,16,3,6
20904,FI,Cinia Oy (fka. Netplaza),Transit: INHERITED (Clean Pipe),-1.0,16,0,2
4581,US,Socket Holdings Corporation,Transit: INHERITED (Clean Pipe),95.19,16,0,3
47526,DE,handily networks GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,16,1,5
8728,EE,AS INFONET,Transit: SECURE (Clean Pipe),99.32,15,0,3
8943,GB,Jump Networks Ltd,Transit: INHERITED (Clean Pipe),-1.0,15,0,2
34428,IT,Giulio Lo Presti,Transit: UNVERIFIED (Dirty Feed),-1.0,15,1,6
3308,DK,Telia Company AB (Denmark),Transit: SECURE (Clean Pipe),99.92,15,0,1
61468,EC,CEDIA,Transit: UNVERIFIED (Dirty Feed),73.8,15,6,9
5539,DE,SpaceNet AG,Transit: UNVERIFIED (Dirty Feed),-1.0,15,3,8
33983,AL,ARTMOTION SH.P.K.,Transit: SECURE (Clean Pipe),99.53,14,0,3
198385,DE,AlpineDC SA,Transit: UNVERIFIED (Dirty Feed),-1.0,14,2,5
2609,TN,Tunisia BackBone AS,Transit: UNVERIFIED (Dirty Feed),39.6,14,3,5
30742,DE,Bremen Briteline GmbH,Transit: INHERITED (Clean Pipe),-1.0,14,0,6
8240,EE,Information System Authority Republic of Estonia,Transit: INHERITED (Clean Pipe),-1.0,13,0,2
8365,DE,Man-da.de GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,13,1,3
8888,AU,xTom Pty Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,13,2,6
26210,BO,AXS Bolivia S. A.,Transit: UNVERIFIED (Dirty Feed),97.84,13,1,1
50877,IT,Airbeam S.r.l.,Transit: UNVERIFIED (Dirty Feed),-1.0,13,4,7
51087,DE,Bling Network Ltd,Transit: UNVERIFIED (Dirty Feed),-1.0,13,5,7
43541,CZ,VSHosting s.r.o.,Transit: INHERITED (Clean Pipe),-1.0,13,0,2
28685,NL,Routit BV,Transit: SECURE (Clean Pipe),100.0,13,0,1
37187,MW,Inq. Digital Limited,Transit: UNVERIFIED (Dirty Feed),45.4,13,1,2
211588,NL,Innovation Harbor B.V.,Transit: UNVERIFIED (Dirty Feed),-1.0,13,1,2
400212,US,VergeTel Group LLC,Transit: UNVERIFIED (Dirty Feed),-1.0,13,1,3
50340,RU,Selectel - Moscow,Transit: UNVERIFIED (Dirty Feed),-1.0,12,8,11
214439,DE,"Zhuhai Xiyun Cloud Technology Co., Ltd.",Transit: UNVERIFIED (Dirty Feed),-1.0,12,2,2
42541,DE,Fiberby ApS,Transit: INHERITED (Clean Pipe),-1.0,12,0,3
59645,DE,Tobias Fiebig,Transit: UNVERIFIED (Dirty Feed),-1.0,12,3,6
29608,FR,OVEA SAS,Transit: UNVERIFIED (Dirty Feed),-1.0,12,3,5
398447,US,"OHANACRAFT, LLC",Transit: UNVERIFIED (Dirty Feed),-1.0,12,1,2
47447,DE,23M GmbH,Transit: INHERITED (Clean Pipe),93.89,12,0,4
8391,DE,Knipp Medien und Kommunikation GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,11,2,2
8680,GB,Sure (Guernsey) Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,11,1,2
328594,TD,SUDATCHAD SA/CA,Transit: INHERITED (Clean Pipe),95.31,11,0,1
149107,VN,TRUMVPS COMPANY LIMITED,Transit: INHERITED (Clean Pipe),-1.0,11,0,1
51519,SE,Karabro AB,Transit: INHERITED (Clean Pipe),-1.0,11,0,2
12307,CH,Sandro Bolliger trading as Bolliger Network Solutions,Transit: UNVERIFIED (Dirty Feed),-1.0,11,3,4
12360,DE,KEVAG Telekom GmbH,Transit: SECURE (Clean Pipe),99.85,11,0,5
37492,TN,Orange Tunisie,Transit: UNVERIFIED (Dirty Feed),32.55,11,2,3
22442,US,"Phonoscope, Inc.",Transit: UNVERIFIED (Dirty Feed),-1.0,11,1,2
14773,US,Lancaster-Lebanon Intermediate Unit 13,Transit: UNVERIFIED (Dirty Feed),-1.0,11,3,4
40994,CZ,Alwyzon (Hohl IT),Transit: UNVERIFIED (Dirty Feed),-1.0,10,2,5
42303,SE,LM Layer and Mesh AB,Transit: INHERITED (Clean Pipe),-1.0,10,0,2
44407,FR,Linkt SAS,Transit: SECURE (Clean Pipe),99.05,10,0,2
3662,HK,Joint Universities Computer Centre Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,10,1,2
3663,US,NetNet,Transit: SECURE (Clean Pipe),98.68,10,0,2
12897,DE,ENTEGA Medianet GmbH,Transit: SECURE (Clean Pipe),99.48,10,0,4
47152,IT,Francesco Ascione trading as FIBERSIX,Transit: INHERITED (Clean Pipe),-1.0,10,0,2
6893,CH,"Saitis Network, N.Desir",Transit: UNVERIFIED (Dirty Feed),-1.0,10,3,4
39702,DE,S-IT Verwaltungs GmbH trading as S-IT Informationstechnologie Betreiber GmbH & Co. KG im Nordschwarzwald,Transit: UNVERIFIED (Dirty Feed),-1.0,10,1,4
204092,NL,Association GRIFON,Transit: INHERITED (Clean Pipe),-1.0,10,0,2
8893,DE,Artfiles New Media GmbH,Transit: UNVERIFIED (Dirty Feed),-1.0,9,1,5
51815,SE,GlobalConnect AB,Transit: INHERITED (Clean Pipe),-1.0,9,0,1
273103,CO,TV&MÁS S.A.S,Transit: UNVERIFIED (Dirty Feed),83.29,9,7,11
44097,FR,CLEMENT CAVADORE,Transit: UNVERIFIED (Dirty Feed),-1.0,9,3,4
35986,US,Vyve Broadband,Transit: UNVERIFIED (Dirty Feed),56.54,9,1,3
396993,GB,Soraxus Networks Inc.,Transit: UNVERIFIED (Dirty Feed),-1.0,9,2,5
12540,ES,IdecNet S.A.,Transit: UNVERIFIED (Dirty Feed),-1.0,9,1,3
29152,FR,Decknet SARL,Transit: UNVERIFIED (Dirty Feed),-1.0,9,1,3
39421,FR,Sapinet SAS,Transit: INHERITED (Clean Pipe),-1.0,9,0,2
40702,US,Clearwave Communications,Transit: SECURE (Clean Pipe),99.67,9,0,2
214443,IT,BE BYTE SRL,Transit: INHERITED (Clean Pipe),-1.0,8,0,3
42615,US,June Slater,Transit: INHERITED (Clean Pipe),-1.0,8,0,3
35592,CZ,Coolhousing s.r.o.,Transit: UNVERIFIED (Dirty Feed),-1.0,8,1,2
35807,RU,SkyNet Ltd.,Transit: INHERITED (Clean Pipe),-1.0,8,0,2
12676,DE,HKN GmbH,Transit: INHERITED (Clean Pipe),-1.0,8,0,5
29550,GB,Team Blue Carrier Limited,Transit: UNVERIFIED (Dirty Feed),-1.0,8,2,5
15085,US,"Immedion, LLC",Transit: UNVERIFIED (Dirty Feed),-1.0,8,3,5
24309,IN,Atria Convergence Technologies,Transit: UNVERIFIED (Dirty Feed),45.49,8,2,2
196610,DE,DE-CIX Academy,Transit: UNVERIFIED (Dirty Feed),-1.0,7,1,2
